RestaurantName,Health Score
Fog Harbor Fish House,92
Marufuku Ramen SF,78
The House,92
Zazie,90
Farmhouse Kitchen Thai Cuisine,83
Liholiho Yacht Club,100
The Codmother Fish and Chips,94
San Tung,88
Burma Superstar,94
Suppenküche,83
Kitchen Story,88
The Front Porch,75
Hog Island Oyster Co,100
Hinodeya Ramen Bar,86
Tuba Authentic Turkish Restaurant,89
Barrel Head Brewhouse,83
Tacorea,90
The Bird,86
Noosh,96
Izakaya KOU,84
Brenda’s French Soul Food,67
Nopa,93
Lime Tree Southeast Asian Kitchen,94
Mensho Tokyo,100
Izakaya Sozai,81
Nara Restaurant & Sake Bar,88
Souvla,92
Gary Danko,92
Woodhouse Fish Company,90
Lark,90
Marugame Udon,94
Parada 22,86
Anchor Oyster Bar,96
Fable,92
Sotto Mare Oysteria & Seafood,88
Surisan,94
Nopalito,87
Cha Cha Cha,76
Myriad Gastropub,91
Kitchen Istanbul,92
Tataki,85
Troya,79
Tselogs,94
Hook Fish,94
Starbelly,92
Old Skool Cafe,89
House Of Pancakes,65
Kokkari Estiatorio,87
Cuisine of Nepal,96
Marlowe,87
Tropisueno,92
State Bird Provisions,96
Jang Soo BBQ,83
Dragon Beaux,86
Souvla,96
El Farolito,88
The Dorian,94
Skool,92
Dancing Yak,85
Padrecito,89
The Italian Homemade Company,87
The Italian Homemade Company,82
Pa’ina Lounge & Restaurant,96
Sweet Maple,79
Limón Rotisserie,93
Rusty’s Southern,83
HoDaLa,78
La Mediterranee,96
The Snug,90
Saucy Asian,96
B Star Bar,92
Palm House,98
Limoncello,88
Swan Oyster Depot,92
Hogwash,89
DragonEats,93
Aria Korean Street Food,85
Chubby Noodle,91
PPQ Dungeness Island,72
Mandalay,89
Woodhouse Fish,87
Kin Khao,89
Frances,100
Betty Lou’s Seafood & Grill,98
a Mano,96
Muracci’s Japanese Curry & Grill,87
Nopalito,90
Causwells,92
Khamsa,77
Eureka Restaurant & Lounge,87
Burma Love,90
Shizen Vegan Sushi Bar & Izakaya,87
Wooden Spoon,96
Manna,81
Blackwood,88
Mac Daddy,90
Tín Vietnamese Cuisine,88
Good Luck Dim Sum,75
House of Prime Rib,96
Tommy’s Joynt,83
