RestaurantName,Health Score
Girl & the Goat,90
The Purple Pig,79
etta,98
Penumbra,94
Au Cheval,81
Serai,89
The Dearborn,81
Giant,92
The Delta,96
Sapori Trattoria,91
Split-Rail,86
Landbirds,100
Little Goat Diner,76
Angry Pig Tavern,90
Vajra,93
Small Cheval,83
Crisp,88
Qing Xiang Yuan Dumplings,98
Cebu,93
Summer House Santa Monica,77
Longman & Eagle,80
Wildberry Pancakes and Cafe,90
Fat Rice,85
Smoque BBQ,80
Ēma,82
Forbidden Root,87
Aloha Wagon,89
King Crab House,84
Tricycle Chicago,80
The Marq,92
Del Seoul,79
Mother Cluckers Kitchen,79
The Gage,88
Avec,76
En Hakkore 2.0,80
All Together Now,78
Ramen Wasabi,95
90 Miles Cuban Café,65
MingHin Cuisine,85
jeong,83
Machine: Engineered Dining & Drink,75
Owen & Engine,93
Remington’s,90
Yuzu Sushi & Robata Grill,90
Scofflaw,76
Funkenhausen,95
Mindy’s Hot Chocolate,71
Boka,84
Kai Zan,90
Quartino Ristorante,79
Luke’s Lobster Chicago City Hall,88
Cafe Ba-Ba-Reeba!,81
Lula Cafe,85
Oriole,96
Lowcountry Lakeview,88
Greek Islands Restaurant,87
Alinea,90
River Roast,95
Bar Siena,90
Bandera Restaurant,80
"Table, Donkey and Stick",85
Gyu-Kaku Japanese BBQ,84
Farmhouse Chicago,90
JJ Thai Street Food,87
Mott St,90
"Joe’s Seafood, Prime Steak & Stone Crab",94
SoJu BBQ,80
Bavette’s Bar & Boeuf,92
Irazú Costa Rican Restaurant,85
Beatnik,99
Cafe Istanbul,99
En Hakkore,92
The Dawson,95
Dove’s Luncheonette,89
Feed,88
Bixi Beer,100
Green Street Smoked Meats,77
Clever Rabbit,95
Inspiration Kitchens,93
Volare Ristorante Italiano,81
Maple & Ash,89
Honey Butter Fried Chicken,92
Arbella,82
Daisies,95
Antique Taco,77
Doc B’s Restaurant + Bar,83
Duck Duck Goat,94
Pub Royale,75
Oiistar,86
El Habanero,85
Silli Kori,80
Eden,91
Prime & Provisions,94
Chi Cafe,85
Tempesta Market,94
Barangaroos Aussie Pies,92
Urbanbelly,93
Revolution Brewing,82
Crosby’s Kitchen,87
The VIG Chicago,94
