RestaurantName,Health Score
Fog Harbor Fish House,92
Marufuku Ramen SF,78
The House,92
Farmhouse Kitchen Thai Cuisine,83
Liholiho Yacht Club,100
Burma Superstar,94
Suppenk¨¹che,83
The Front Porch,75
San Tung,88
Tropisueno,92
Sotto Mare Oysteria & Seafood,88
Nara Restaurant & Sake Bar,88
Izakaya KOU,84
Barrel Head Brewhouse,83
Jang Soo BBQ,83
Tataki,85
Starbelly,92
Tony¡¯s Pizza Napoletana,92
PPQ Dungeness Island,72
The Dorian,94
Tuba Authentic Turkish Restaurant,89
Izakaya Sozai,81
Brenda¡¯s Meat & Three,92
